FISCAL_YEAR,QUARTER,HEALTH_AUTHORITY,HOSPITAL_NAME,PROCEDURE_GROUP,WAITING,COMPLETED,COMPLETED_50TH_PERCENTILE,COMPLETED_90TH_PERCENTILE
2021/22,Q3,Interior,Royal Inland Hospital,Prostate Surgery,177,51,8.0,73.9
2021/22,Q3,Interior,Royal Inland Hospital,Rectal Surgery,44,<5,,
2021/22,Q3,Interior,Royal Inland Hospital,Shoulder Surgery,141,41,11.6,30.0
2021/22,Q3,Interior,Royal Inland Hospital,Shunt Insertion/Removal,<5,<5,,
2021/22,Q3,Interior,Royal Inland Hospital,Sinus Surgery,67,13,14.9,33.4
2021/22,Q3,Interior,Royal Inland Hospital,Skin Surgery,11,9,4.9,14.7
2021/22,Q3,Interior,Royal Inland Hospital,Skin Tumour Removal,13,6,6.4,18.9
2021/22,Q3,Interior,Royal Inland Hospital,Sphincterotomy,<5,0,,
2021/22,Q3,Interior,Royal Inland Hospital,Spinal/Back Surgery,290,73,7.9,74.9
2021/22,Q3,Interior,Royal Inland Hospital,Tendon Surgery,10,6,3.5,13.5
2021/22,Q3,Interior,Royal Inland Hospital,Thyroidectomy,28,12,17.3,29.5
2021/22,Q3,Interior,Royal Inland Hospital,Tonsillectomy/Adenoidectomy,95,20,23.5,41.4
2021/22,Q3,Interior,Royal Inland Hospital,Tympanoplasty,18,5,10.0,25.2
2021/22,Q3,Interior,Royal Inland Hospital,Uterine Surgery,185,87,16.3,30.5
2021/22,Q3,Interior,Royal Inland Hospital,Vaginal Repair,54,5,26.1,32.7
2021/22,Q3,Interior,Royal Inland Hospital,Varicose Veins Ligation/Stripping,16,6,5.9,14.5
2021/22,Q3,Interior,Royal Inland Hospital,Vascular Bypass Graft - Non Cardiac,5,16,1.3,5.4
2021/22,Q3,Interior,Royal Inland Hospital,Vascular Surgery - Other,15,21,5.1,11.1
2021/22,Q3,Interior,Royal Inland Hospital,Wound/Laceration Care,9,16,0.8,20.4
2021/22,Q3,Interior,Shuswap Lake General Hospital,All Other Procedures,<5,23,3.1,6.5
2021/22,Q3,Interior,Shuswap Lake General Hospital,All Procedures,379,409,5.6,24.1
2021/22,Q3,Interior,Shuswap Lake General Hospital,Biopsy in OR,<5,<5,,
2021/22,Q3,Interior,Shuswap Lake General Hospital,Bladder Surgery,10,10,17.0,41.2
2021/22,Q3,Interior,Shuswap Lake General Hospital,Bowel Resection,<5,9,4.3,7.1
2021/22,Q3,Interior,Shuswap Lake General Hospital,Breast Biopsy,5,5,3.4,15.1
2021/22,Q3,Interior,Shuswap Lake General Hospital,Cholecystectomy,18,13,4.3,13.2
2021/22,Q3,Interior,Shuswap Lake General Hospital,Cyst/Ganglion Removal,11,6,8.4,14.1
2021/22,Q3,Interior,Shuswap Lake General Hospital,D&C and Related Surgery,16,34,3.5,8.4
2021/22,Q3,Interior,Shuswap Lake General Hospital,Dental Surgery,5,9,3.4,25.5
2021/22,Q3,Interior,Shuswap Lake General Hospital,Excision Lesion/Tumour,<5,6,4.1,14.6
2021/22,Q3,Interior,Shuswap Lake General Hospital,Fallopian Tube/Ovarian Surgery,<5,10,12.0,45.1
2021/22,Q3,Interior,Shuswap Lake General Hospital,Foreign Body Removal Surgery,<5,<5,,
2021/22,Q3,Interior,Shuswap Lake General Hospital,Fracture Repair,<5,<5,,
2021/22,Q3,Interior,Shuswap Lake General Hospital,Hand/Wrist Surgery,33,23,7.6,27.1
2021/22,Q3,Interior,Shuswap Lake General Hospital,Hernia Repair - Abdominal,43,39,10.4,20.2
2021/22,Q3,Interior,Shuswap Lake General Hospital,Knee - Meniscectomy,17,31,5.3,43.7
2021/22,Q3,Interior,Shuswap Lake General Hospital,Knee Arthroscopy,36,<5,,
2021/22,Q3,Interior,Shuswap Lake General Hospital,Laparoscopy,<5,8,2.8,14.9
2021/22,Q3,Interior,Shuswap Lake General Hospital,Ligament Surgery,<5,0,,
2021/22,Q3,Interior,Shuswap Lake General Hospital,Male Reproductive Surgery,26,23,7.9,44.0
2021/22,Q3,Interior,Shuswap Lake General Hospital,Mastectomy,<5,8,3.4,6.1
2021/22,Q3,Interior,Shuswap Lake General Hospital,Nerve Surgery,6,<5,,
2021/22,Q3,Interior,Shuswap Lake General Hospital,Other Joint Reconstruction,17,13,6.7,16.0
2021/22,Q3,Interior,Shuswap Lake General Hospital,Other Orthopaedic Surgery,44,27,6.9,15.3
2021/22,Q3,Interior,Shuswap Lake General Hospital,Other Urology Surgery,10,14,22.1,38.6
2021/22,Q3,Interior,Shuswap Lake General Hospital,Rectal Surgery,<5,8,5.0,9.8
2021/22,Q3,Interior,Shuswap Lake General Hospital,Skin Tumour Removal,44,41,5.6,18.1
2021/22,Q3,Interior,Shuswap Lake General Hospital,Uterine Surgery,<5,17,5.6,17.9
2021/22,Q3,Interior,Shuswap Lake General Hospital,Vaginal Repair,<5,5,5.9,25.7
2021/22,Q3,Interior,Shuswap Lake General Hospital,Varicose Veins Ligation/Stripping,5,<5,,
2021/22,Q3,Interior,Shuswap Lake General Hospital,Vascular Surgery - Other,<5,<5,,
2021/22,Q3,Interior,Summerland Memorial Health Centre,All Procedures,561,636,5.6,14.9
2021/22,Q3,Interior,Summerland Memorial Health Centre,Cataract Surgery,222,404,5.1,8.4
2021/22,Q3,Interior,Summerland Memorial Health Centre,Dental Surgery,280,148,10.9,34.3
2021/22,Q3,Interior,Summerland Memorial Health Centre,Excision Lesion/Tumour,<5,<5,,
2021/22,Q3,Interior,Summerland Memorial Health Centre,Myringotomy,<5,5,3.0,6.0
2021/22,Q3,Interior,Summerland Memorial Health Centre,Nasal Surgery,23,19,8.6,20.2
2021/22,Q3,Interior,Summerland Memorial Health Centre,Oral Cavity & Pharynx Surgery,<5,0,,
2021/22,Q3,Interior,Summerland Memorial Health Centre,Other Eye Surgery,<5,11,3.0,4.1
2021/22,Q3,Interior,Summerland Memorial Health Centre,Sinus Surgery,7,5,7.6,11.5
2021/22,Q3,Interior,Summerland Memorial Health Centre,Skin Tumour Removal,<5,19,1.0,2.8
2021/22,Q3,Interior,Summerland Memorial Health Centre,Tonsillectomy/Adenoidectomy,14,10,4.6,6.6
2021/22,Q3,Interior,Summerland Memorial Health Centre,Tympanoplasty,<5,0,,
2021/22,Q3,Interior,Vernon Jubilee Hospital,All Other Procedures,12,23,7.9,25.8
2021/22,Q3,Interior,Vernon Jubilee Hospital,All Procedures,"1,621","1,184",8.4,25.0
2021/22,Q3,Interior,Vernon Jubilee Hospital,Appendectomy,<5,<5,,
2021/22,Q3,Interior,Vernon Jubilee Hospital,Biopsy in OR,8,16,3.4,12.4
2021/22,Q3,Interior,Vernon Jubilee Hospital,Bladder Surgery,12,22,8.3,23.7
2021/22,Q3,Interior,Vernon Jubilee Hospital,Bowel Resection,13,22,4.6,7.3
2021/22,Q3,Interior,Vernon Jubilee Hospital,Breast Biopsy,<5,<5,,
2021/22,Q3,Interior,Vernon Jubilee Hospital,Cholecystectomy,37,50,5.9,12.2
2021/22,Q3,Interior,Vernon Jubilee Hospital,Colostomy/Ileostomy,6,<5,,
2021/22,Q3,Interior,Vernon Jubilee Hospital,Cone Biopsy,<5,<5,,
2021/22,Q3,Interior,Vernon Jubilee Hospital,Cyst/Ganglion Removal,9,9,10.1,25.1
2021/22,Q3,Interior,Vernon Jubilee Hospital,D&C and Related Surgery,34,35,4.7,12.2
2021/22,Q3,Interior,Vernon Jubilee Hospital,Examination Under Anaesthetic,6,0,,
2021/22,Q3,Interior,Vernon Jubilee Hospital,Excision Lesion/Tumour,10,25,3.7,12.1
2021/22,Q3,Interior,Vernon Jubilee Hospital,Fallopian Tube/Ovarian Surgery,22,18,5.2,11.1
2021/22,Q3,Interior,Vernon Jubilee Hospital,Foot/Ankle Surgery,<5,<5,,
2021/22,Q3,Interior,Vernon Jubilee Hospital,Fracture Repair,<5,64,0.4,0.9
2021/22,Q3,Interior,Vernon Jubilee Hospital,Hand/Wrist Surgery,5,<5,,
2021/22,Q3,Interior,Vernon Jubilee Hospital,Hernia Repair - Abdominal,189,141,7.4,16.9
2021/22,Q3,Interior,Vernon Jubilee Hospital,Hernia Repair - Hiatal,<5,<5,,
2021/22,Q3,Interior,Vernon Jubilee Hospital,Hip Replacement,249,97,21.9,26.0
2021/22,Q3,Interior,Vernon Jubilee Hospital,Kidney/Bladder Stone Removal,16,14,7.4,13.5
2021/22,Q3,Interior,Vernon Jubilee Hospital,Knee - ACL Repair,11,7,7.0,13.9
2021/22,Q3,Interior,Vernon Jubilee Hospital,Knee - Meniscectomy,22,17,7.3,15.4
2021/22,Q3,Interior,Vernon Jubilee Hospital,Knee Arthroscopy,11,<5,,
2021/22,Q3,Interior,Vernon Jubilee Hospital,Knee Replacement,383,136,20.3,28.4
2021/22,Q3,Interior,Vernon Jubilee Hospital,Laparoscopy,<5,6,9.4,17.3
2021/22,Q3,Interior,Vernon Jubilee Hospital,Ligament Surgery,<5,<5,,
2021/22,Q3,Interior,Vernon Jubilee Hospital,Male Reproductive Surgery,14,16,10.9,28.8
2021/22,Q3,Interior,Vernon Jubilee Hospital,Mastectomy,9,44,2.9,5.7
2021/22,Q3,Interior,Vernon Jubilee Hospital,Mastoidectomy,15,5,34.4,37.1
2021/22,Q3,Interior,Vernon Jubilee Hospital,Myringotomy,<5,5,5.9,13.6
2021/22,Q3,Interior,Vernon Jubilee Hospital,Nasal Surgery,33,10,25.1,32.1
2021/22,Q3,Interior,Vernon Jubilee Hospital,Nerve Surgery,<5,<5,,
2021/22,Q3,Interior,Vernon Jubilee Hospital,Other Joint Reconstruction,17,20,8.0,13.6
2021/22,Q3,Interior,Vernon Jubilee Hospital,Other Orthopaedic Surgery,49,23,6.1,12.3
2021/22,Q3,Interior,Vernon Jubilee Hospital,Other Urology Surgery,24,23,7.9,23.5
2021/22,Q3,Interior,Vernon Jubilee Hospital,Parotidectomy,<5,<5,,
2021/22,Q3,Interior,Vernon Jubilee Hospital,Prostate Surgery,41,54,8.9,21.8
2021/22,Q3,Interior,Vernon Jubilee Hospital,Rectal Surgery,23,14,7.1,21.9
2021/22,Q3,Interior,Vernon Jubilee Hospital,Shoulder Surgery,70,35,10.3,31.6
2021/22,Q3,Interior,Vernon Jubilee Hospital,Sinus Surgery,36,9,15.4,31.7
2021/22,Q3,Interior,Vernon Jubilee Hospital,Skin Tumour Removal,8,16,3.6,11.4
2021/22,Q3,Interior,Vernon Jubilee Hospital,Sphincterotomy,<5,<5,,
2021/22,Q3,Interior,Vernon Jubilee Hospital,Spinal/Back Surgery,65,30,8.9,19.6
2021/22,Q3,Interior,Vernon Jubilee Hospital,Tendon Surgery,6,15,1.0,6.4
2021/22,Q3,Interior,Vernon Jubilee Hospital,Thyroidectomy,11,9,19.9,29.5
2021/22,Q3,Interior,Vernon Jubilee Hospital,Tonsillectomy/Adenoidectomy,21,20,18.9,24.5
2021/22,Q3,Interior,Vernon Jubilee Hospital,Tympanoplasty,29,12,36.4,39.9
2021/22,Q3,Interior,Vernon Jubilee Hospital,Uterine Surgery,51,74,7.9,16.7
2021/22,Q3,Interior,Vernon Jubilee Hospital,Vaginal Repair,12,9,9.0,15.2
2021/22,Q3,Interior,Vernon Jubilee Hospital,Varicose Veins Ligation/Stripping,<5,<5,,
2021/22,Q3,Interior,Vernon Jubilee Hospital,Wound/Laceration Care,<5,<5,,
2021/22,Q3,Northern,All Facilities,Abdominoplasty,9,10,5.9,15.9
2021/22,Q3,Northern,All Facilities,All Other Procedures,88,62,5.8,19.5
2021/22,Q3,Northern,All Facilities,All Procedures,"6,171","2,742",6.9,23.1
2021/22,Q3,Northern,All Facilities,Aortic Aneurysm Repair,10,6,11.0,24.4
2021/22,Q3,Northern,All Facilities,Appendectomy,<5,<5,,
2021/22,Q3,Northern,All Facilities,Biopsy in OR,11,28,3.4,6.7
2021/22,Q3,Northern,All Facilities,Bladder Surgery,30,52,4.7,19.0
2021/22,Q3,Northern,All Facilities,Bowel Resection,31,31,4.0,7.4
2021/22,Q3,Northern,All Facilities,Breast Biopsy,10,18,3.3,5.1
2021/22,Q3,Northern,All Facilities,Breast Reconstruction,16,15,4.7,22.7
2021/22,Q3,Northern,All Facilities,Breast Reduction,55,19,2.4,8.3
2021/22,Q3,Northern,All Facilities,CSF Drainage,<5,<5,,
2021/22,Q3,Northern,All Facilities,Cataract Surgery,882,632,10.9,22.3
2021/22,Q3,Northern,All Facilities,Cholecystectomy,170,53,6.1,31.1
2021/22,Q3,Northern,All Facilities,Colostomy/Ileostomy,18,5,8.1,18.6
2021/22,Q3,Northern,All Facilities,Cyst/Ganglion Removal,38,33,8.9,26.1
2021/22,Q3,Northern,All Facilities,D&C and Related Surgery,95,72,5.9,17.4
2021/22,Q3,Northern,All Facilities,Dental Surgery,330,267,5.3,17.9
2021/22,Q3,Northern,All Facilities,Endarterectomy,18,7,7.1,30.7
2021/22,Q3,Northern,All Facilities,Esophagectomy,<5,<5,,
2021/22,Q3,Northern,All Facilities,Examination Under Anaesthetic,25,7,2.4,12.8
2021/22,Q3,Northern,All Facilities,Excision Gynecomastia,<5,0,,
2021/22,Q3,Northern,All Facilities,Excision Lesion/Tumour,55,32,4.4,23.3
2021/22,Q3,Northern,All Facilities,Facial Bone Reconstruction,38,<5,,
2021/22,Q3,Northern,All Facilities,Fallopian Tube/Ovarian Surgery,139,50,8.9,29.7
2021/22,Q3,Northern,All Facilities,Fistula Repair - Non Vascular,11,<5,,
2021/22,Q3,Northern,All Facilities,Foot/Ankle Surgery,15,<5,,
2021/22,Q3,Northern,All Facilities,Foreign Body Removal Surgery,<5,8,4.9,14.7
2021/22,Q3,Northern,All Facilities,Fracture Repair,14,5,3.3,14.2
2021/22,Q3,Northern,All Facilities,Free Flap Graft,<5,<5,,
2021/22,Q3,Northern,All Facilities,Hand/Wrist Surgery,38,31,6.9,17.6
2021/22,Q3,Northern,All Facilities,Hernia Repair - Abdominal,372,112,8.0,27.0
2021/22,Q3,Northern,All Facilities,Hernia Repair - Hiatal,10,<5,,
2021/22,Q3,Northern,All Facilities,Hip Replacement,456,46,28.1,65.5
2021/22,Q3,Northern,All Facilities,Kidney/Bladder Stone Removal,11,14,4.4,16.2
2021/22,Q3,Northern,All Facilities,Knee - ACL Repair,50,7,9.0,15.5
2021/22,Q3,Northern,All Facilities,Knee - Meniscectomy,53,19,2.9,13.9
2021/22,Q3,Northern,All Facilities,Knee Arthroscopy,52,33,2.4,14.0
2021/22,Q3,Northern,All Facilities,Knee Replacement,"1,106",59,24.6,88.8
2021/22,Q3,Northern,All Facilities,Laparoscopy,10,15,7.9,17.7
2021/22,Q3,Northern,All Facilities,Laparotomy,<5,<5,,
2021/22,Q3,Northern,All Facilities,Lens & Vitreous (non-cataract) Surgery,<5,0,,
2021/22,Q3,Northern,All Facilities,Ligament Surgery,5,<5,,
2021/22,Q3,Northern,All Facilities,Lipectomy,<5,<5,,
2021/22,Q3,Northern,All Facilities,Male Reproductive Surgery,92,32,8.1,31.9
2021/22,Q3,Northern,All Facilities,Mastectomy,23,47,3.3,6.3
2021/22,Q3,Northern,All Facilities,Mastoidectomy,<5,0,,
2021/22,Q3,Northern,All Facilities,Myringotomy,<5,8,1.6,12.9
2021/22,Q3,Northern,All Facilities,Nasal Surgery,159,47,6.0,27.5
2021/22,Q3,Northern,All Facilities,Nerve Surgery,28,12,5.9,18.1
2021/22,Q3,Northern,All Facilities,Oral Cavity & Pharynx Surgery,8,<5,,
2021/22,Q3,Northern,All Facilities,Other Eye Surgery,30,7,10.3,24.1
2021/22,Q3,Northern,All Facilities,Other Joint Reconstruction,89,35,8.4,28.8
2021/22,Q3,Northern,All Facilities,Other Orthopaedic Surgery,187,141,4.7,12.0
2021/22,Q3,Northern,All Facilities,Other Urology Surgery,162,113,7.1,15.6
2021/22,Q3,Northern,All Facilities,Parotidectomy,12,<5,,
2021/22,Q3,Northern,All Facilities,Prostate Surgery,56,29,7.0,20.6
2021/22,Q3,Northern,All Facilities,Rectal Surgery,42,11,8.3,18.7
2021/22,Q3,Northern,All Facilities,Shoulder Surgery,244,43,13.3,36.7
2021/22,Q3,Northern,All Facilities,Skin Surgery,6,12,2.8,9.1
2021/22,Q3,Northern,All Facilities,Skin Tumour Removal,88,135,2.1,9.5
2021/22,Q3,Northern,All Facilities,Spinal/Back Surgery,<5,0,,
2021/22,Q3,Northern,All Facilities,Tendon Surgery,27,10,11.9,23.1
2021/22,Q3,Northern,All Facilities,Thyroidectomy,12,<5,,
2021/22,Q3,Northern,All Facilities,Tonsillectomy/Adenoidectomy,124,48,4.4,29.0
2021/22,Q3,Northern,All Facilities,Tympanoplasty,6,0,,
2021/22,Q3,Northern,All Facilities,Uterine Surgery,370,158,5.0,29.9
2021/22,Q3,Northern,All Facilities,Vaginal Repair,45,9,18.1,41.8
2021/22,Q3,Northern,All Facilities,Varicose Veins Ligation/Stripping,15,8,3.0,15.4
2021/22,Q3,Northern,All Facilities,Vascular Bypass Graft - Non Cardiac,9,<5,,
2021/22,Q3,Northern,All Facilities,Vascular Surgery - Other,21,31,1.3,10.4
2021/22,Q3,Northern,All Facilities,Wound/Laceration Care,19,14,3.4,14.2
2021/22,Q3,Northern,Bulkley Valley District Hospital,Abdominoplasty,<5,0,,
2021/22,Q3,Northern,Bulkley Valley District Hospital,All Other Procedures,14,<5,,
2021/22,Q3,Northern,Bulkley Valley District Hospital,All Procedures,193,143,4.9,19.2
2021/22,Q3,Northern,Bulkley Valley District Hospital,Bladder Surgery,<5,0,,
2021/22,Q3,Northern,Bulkley Valley District Hospital,Breast Reduction,<5,<5,,
2021/22,Q3,Northern,Bulkley Valley District Hospital,Cholecystectomy,<5,<5,,
2021/22,Q3,Northern,Bulkley Valley District Hospital,Cyst/Ganglion Removal,<5,7,8.3,19.3
2021/22,Q3,Northern,Bulkley Valley District Hospital,D&C and Related Surgery,10,10,4.5,9.2
2021/22,Q3,Northern,Bulkley Valley District Hospital,Dental Surgery,7,12,1.7,1.9
2021/22,Q3,Northern,Bulkley Valley District Hospital,Examination Under Anaesthetic,<5,<5,,
2021/22,Q3,Northern,Bulkley Valley District Hospital,Excision Lesion/Tumour,9,<5,,
2021/22,Q3,Northern,Bulkley Valley District Hospital,Fallopian Tube/Ovarian Surgery,<5,6,10.7,14.1
2021/22,Q3,Northern,Bulkley Valley District Hospital,Foot/Ankle Surgery,<5,0,,
2021/22,Q3,Northern,Bulkley Valley District Hospital,Hand/Wrist Surgery,<5,5,11.1,19.3
2021/22,Q3,Northern,Bulkley Valley District Hospital,Hernia Repair - Abdominal,21,14,10.2,24.7
2021/22,Q3,Northern,Bulkley Valley District Hospital,Knee - ACL Repair,<5,<5,,
2021/22,Q3,Northern,Bulkley Valley District Hospital,Knee - Meniscectomy,<5,<5,,
2021/22,Q3,Northern,Bulkley Valley District Hospital,Knee Arthroscopy,<5,<5,,
2021/22,Q3,Northern,Bulkley Valley District Hospital,Laparoscopy,<5,0,,
2021/22,Q3,Northern,Bulkley Valley District Hospital,Male Reproductive Surgery,<5,<5,,
2021/22,Q3,Northern,Bulkley Valley District Hospital,Mastectomy,<5,<5,,
2021/22,Q3,Northern,Bulkley Valley District Hospital,Nasal Surgery,7,5,11.3,23.9
2021/22,Q3,Northern,Bulkley Valley District Hospital,Nerve Surgery,<5,<5,,
2021/22,Q3,Northern,Bulkley Valley District Hospital,Other Joint Reconstruction,<5,<5,,
2021/22,Q3,Northern,Bulkley Valley District Hospital,Other Orthopaedic Surgery,7,8,5.4,12.3
2021/22,Q3,Northern,Bulkley Valley District Hospital,Other Urology Surgery,29,12,10.0,15.6
2021/22,Q3,Northern,Bulkley Valley District Hospital,Rectal Surgery,<5,<5,,
2021/22,Q3,Northern,Bulkley Valley District Hospital,Shoulder Surgery,8,0,,
2021/22,Q3,Northern,Bulkley Valley District Hospital,Skin Tumour Removal,6,6,12.6,17.1
2021/22,Q3,Northern,Bulkley Valley District Hospital,Tonsillectomy/Adenoidectomy,6,0,,
2021/22,Q3,Northern,Bulkley Valley District Hospital,Tympanoplasty,<5,0,,
2021/22,Q3,Northern,Bulkley Valley District Hospital,Uterine Surgery,25,13,0.0,0.0
2021/22,Q3,Northern,Bulkley Valley District Hospital,Vaginal Repair,<5,0,,
2021/22,Q3,Northern,Bulkley Valley District Hospital,Vascular Surgery - Other,<5,14,0.9,1.2
2021/22,Q3,Northern,Bulkley Valley District Hospital,Wound/Laceration Care,<5,<5,,
2021/22,Q3,Northern,Dawson Creek And District Hospital,All Procedures,326,98,20.6,40.1
2021/22,Q3,Northern,Dawson Creek And District Hospital,Bladder Surgery,<5,0,,
2021/22,Q3,Northern,Dawson Creek And District Hospital,Breast Biopsy,<5,0,,
2021/22,Q3,Northern,Dawson Creek And District Hospital,Cholecystectomy,35,6,36.9,43.1
2021/22,Q3,Northern,Dawson Creek And District Hospital,Colostomy/Ileostomy,<5,0,,
2021/22,Q3,Northern,Dawson Creek And District Hospital,Cyst/Ganglion Removal,12,<5,,
2021/22,Q3,Northern,Dawson Creek And District Hospital,D&C and Related Surgery,<5,0,,
2021/22,Q3,Northern,Dawson Creek And District Hospital,Dental Surgery,26,<5,,
2021/22,Q3,Northern,Dawson Creek And District Hospital,Examination Under Anaesthetic,<5,0,,
2021/22,Q3,Northern,Dawson Creek And District Hospital,Fallopian Tube/Ovarian Surgery,5,0,,
2021/22,Q3,Northern,Dawson Creek And District Hospital,Fracture Repair,<5,0,,
2021/22,Q3,Northern,Dawson Creek And District Hospital,Hand/Wrist Surgery,<5,<5,,
2021/22,Q3,Northern,Dawson Creek And District Hospital,Hernia Repair - Abdominal,71,16,31.1,39.2
2021/22,Q3,Northern,Dawson Creek And District Hospital,Hip Replacement,27,11,15.0,35.0
2021/22,Q3,Northern,Dawson Creek And District Hospital,Knee Arthroscopy,<5,<5,,
2021/22,Q3,Northern,Dawson Creek And District Hospital,Knee Replacement,51,7,27.7,33.3
2021/22,Q3,Northern,Dawson Creek And District Hospital,Male Reproductive Surgery,12,<5,,
2021/22,Q3,Northern,Dawson Creek And District Hospital,Mastectomy,<5,<5,,
2021/22,Q3,Northern,Dawson Creek And District Hospital,Nerve Surgery,<5,0,,
2021/22,Q3,Northern,Dawson Creek And District Hospital,Oral Cavity & Pharynx Surgery,<5,0,,
2021/22,Q3,Northern,Dawson Creek And District Hospital,Other Joint Reconstruction,<5,<5,,
2021/22,Q3,Northern,Dawson Creek And District Hospital,Other Orthopaedic Surgery,11,10,8.1,20.4
2021/22,Q3,Northern,Dawson Creek And District Hospital,Other Urology Surgery,<5,<5,,
2021/22,Q3,Northern,Dawson Creek And District Hospital,Prostate Surgery,<5,0,,
2021/22,Q3,Northern,Dawson Creek And District Hospital,Rectal Surgery,<5,0,,
2021/22,Q3,Northern,Dawson Creek And District Hospital,Shoulder Surgery,20,12,20.4,32.6
2021/22,Q3,Northern,Dawson Creek And District Hospital,Skin Tumour Removal,7,<5,,
2021/22,Q3,Northern,Dawson Creek And District Hospital,Tonsillectomy/Adenoidectomy,14,<5,,
2021/22,Q3,Northern,Dawson Creek And District Hospital,Uterine Surgery,6,11,,
2021/22,Q3,Northern,Dawson Creek And District Hospital,Varicose Veins Ligation/Stripping,6,<5,,
2021/22,Q3,Northern,Fort St John General Hospital,All Other Procedures,<5,0,,
2021/22,Q3,Northern,Fort St John General Hospital,All Procedures,318,134,5.9,22.9
2021/22,Q3,Northern,Fort St John General Hospital,Cataract Surgery,112,24,6.0,22.9
2021/22,Q3,Northern,Fort St John General Hospital,Cholecystectomy,17,<5,,
2021/22,Q3,Northern,Fort St John General Hospital,Cyst/Ganglion Removal,<5,<5,,
2021/22,Q3,Northern,Fort St John General Hospital,D&C and Related Surgery,<5,5,3.7,7.9
2021/22,Q3,Northern,Fort St John General Hospital,Dental Surgery,24,20,4.9,9.7
2021/22,Q3,Northern,Fort St John General Hospital,Examination Under Anaesthetic,<5,0,,
2021/22,Q3,Northern,Fort St John General Hospital,Excision Lesion/Tumour,<5,<5,,
2021/22,Q3,Northern,Fort St John General Hospital,Fallopian Tube/Ovarian Surgery,23,9,4.9,7.0
2021/22,Q3,Northern,Fort St John General Hospital,Hernia Repair - Abdominal,35,6,4.6,24.6
2021/22,Q3,Northern,Fort St John General Hospital,Male Reproductive Surgery,6,0,,
2021/22,Q3,Northern,Fort St John General Hospital,Mastectomy,<5,<5,,
2021/22,Q3,Northern,Fort St John General Hospital,Nasal Surgery,12,<5,,
2021/22,Q3,Northern,Fort St John General Hospital,Nerve Surgery,9,<5,,
2021/22,Q3,Northern,Fort St John General Hospital,Rectal Surgery,8,<5,,
2021/22,Q3,Northern,Fort St John General Hospital,Skin Tumour Removal,6,<5,,
2021/22,Q3,Northern,Fort St John General Hospital,Tonsillectomy/Adenoidectomy,26,<5,,
2021/22,Q3,Northern,Fort St John General Hospital,Uterine Surgery,28,34,2.8,7.4
2021/22,Q3,Northern,G.R. Baker Memorial Hospital,Abdominoplasty,<5,<5,,
2021/22,Q3,Northern,G.R. Baker Memorial Hospital,All Other Procedures,<5,<5,,
2021/22,Q3,Northern,G.R. Baker Memorial Hospital,All Procedures,377,266,4.3,16.7
2021/22,Q3,Northern,G.R. Baker Memorial Hospital,Biopsy in OR,<5,<5,,
2021/22,Q3,Northern,G.R. Baker Memorial Hospital,Bowel Resection,<5,<5,,
2021/22,Q3,Northern,G.R. Baker Memorial Hospital,Breast Biopsy,<5,<5,,
2021/22,Q3,Northern,G.R. Baker Memorial Hospital,Breast Reconstruction,5,5,3.6,5.0
2021/22,Q3,Northern,G.R. Baker Memorial Hospital,Breast Reduction,<5,8,2.4,7.7
2021/22,Q3,Northern,G.R. Baker Memorial Hospital,Cholecystectomy,12,13,4.7,12.9
2021/22,Q3,Northern,G.R. Baker Memorial Hospital,Cyst/Ganglion Removal,<5,<5,,
2021/22,Q3,Northern,G.R. Baker Memorial Hospital,D&C and Related Surgery,<5,<5,,
2021/22,Q3,Northern,G.R. Baker Memorial Hospital,Dental Surgery,83,48,8.4,27.2
2021/22,Q3,Northern,G.R. Baker Memorial Hospital,Examination Under Anaesthetic,<5,<5,,
2021/22,Q3,Northern,G.R. Baker Memorial Hospital,Excision Lesion/Tumour,7,6,2.9,4.3
2021/22,Q3,Northern,G.R. Baker Memorial Hospital,Fallopian Tube/Ovarian Surgery,16,10,7.2,9.5
2021/22,Q3,Northern,G.R. Baker Memorial Hospital,Foreign Body Removal Surgery,<5,<5,,
2021/22,Q3,Northern,G.R. Baker Memorial Hospital,Hand/Wrist Surgery,<5,5,2.6,8.0
2021/22,Q3,Northern,G.R. Baker Memorial Hospital,Hernia Repair - Abdominal,27,25,4.3,13.0
2021/22,Q3,Northern,G.R. Baker Memorial Hospital,Hernia Repair - Hiatal,<5,0,,
2021/22,Q3,Northern,G.R. Baker Memorial Hospital,Knee - ACL Repair,5,0,,
2021/22,Q3,Northern,G.R. Baker Memorial Hospital,Knee - Meniscectomy,9,5,6.0,21.6
2021/22,Q3,Northern,G.R. Baker Memorial Hospital,Knee Arthroscopy,5,<5,,
2021/22,Q3,Northern,G.R. Baker Memorial Hospital,Knee Replacement,<5,0,,
2021/22,Q3,Northern,G.R. Baker Memorial Hospital,Laparoscopy,8,7,7.9,15.0
2021/22,Q3,Northern,G.R. Baker Memorial Hospital,Lipectomy,<5,<5,,
2021/22,Q3,Northern,G.R. Baker Memorial Hospital,Mastectomy,<5,<5,,
2021/22,Q3,Northern,G.R. Baker Memorial Hospital,Mastoidectomy,<5,0,,
2021/22,Q3,Northern,G.R. Baker Memorial Hospital,Myringotomy,<5,0,,
2021/22,Q3,Northern,G.R. Baker Memorial Hospital,Nasal Surgery,17,<5,,
2021/22,Q3,Northern,G.R. Baker Memorial Hospital,Nerve Surgery,<5,0,,
